Rental Price,Room Type,Accommodation Facilities,Link
RM 710.00,Master Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Private Bathroom', 'Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210764/master-room-at-cyberjaya-selangor
RM 450.00,Single Room,"['Air-Conditioning', 'Washing Machine', 'Cooking Allowed', 'Share Bathroom', 'Near LRT / MRT', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Playground', 'Mini Market']",https://www.ibilik.my/rooms/8210278/single-room-at-cyberjaya-selangor
RM 750.00,Master Room,"['Washing Machine', 'TV', 'Private Bathroom', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210270/master-room-at-cyberjaya-selangor
RM 400.00,Single Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8210353/single-room-at-the-arc-cyberjaya
RM 630.00,Middle Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Near KTM / LRT', '24 hours security', 'Swimming Pools', 'OKU Friendly', 'Playground', 'Surau']",https://www.ibilik.my/rooms/8210579/middle-room-at-cyberjaya-selangor
RM 700.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8210191/middle-room-at-cristal-residence-cyberjaya
RM 900.00,Studio,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Private Bathroom', 'Near KTM / LRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210012/studio-at-kanvas-cyberjaya
RM 500.00,Middle Room,"['Air-Conditioning', 'Washing Machine', 'TV', 'Share Bathroom', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8209964/middle-room-at-cyberjaya-selangor
RM 700.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8210091/middle-room-at-cristal-residence-cyberjaya
RM 700.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8209943/immediate-move-in-medium-room-or-single-room
